epoch,Alarm_bell_ringing,Speech,Dog,Cat,Vacuum_cleaner,Dishes,Frying,Electric_shaver_toothbrush,Blender,Running_water
1,0.0,0.9053030303030303,0.0,0.0,0.0,0.4782608695652174,0.88,0.0,0.0,0.0
2,0.9662921348314607,0.007575757575757576,0.0,0.0,0.21875,0.0,0.0,0.0,0.0,0.0
3,0.3595505617977528,0.7651515151515151,0.0,0.0,0.53125,0.057971014492753624,0.38,0.0,0.0,0.0
4,0.30337078651685395,0.05303030303030303,0.0,0.0,0.9375,0.0,0.0,0.0,0.5,0.0
5,0.550561797752809,0.625,0.0,0.0,0.34375,0.028985507246376812,0.55,0.047619047619047616,0.0,0.0
6,0.24719101123595505,0.8825757575757576,0.0,0.0,0.40625,0.5797101449275363,0.8,0.0,0.038461538461538464,0.0
7,0.449438202247191,0.4015151515151515,0.0,0.0,0.90625,0.0,0.14,0.0,0.0,0.0
8,0.10112359550561797,1.0,0.0,0.0,0.0,0.37681159420289856,0.6,0.7142857142857143,0.0,0.0
9,0.2247191011235955,0.9962121212121212,0.0,0.0,0.625,0.0,0.1,0.14285714285714285,0.2692307692307692,0.0
10,0.5168539325842697,0.9886363636363636,0.0,0.0,0.1875,0.391304347826087,0.68,0.09523809523809523,0.11538461538461539,0.03076923076923077
11,0.7415730337078652,0.8787878787878788,0.0,0.0,0.9375,0.0,0.04,0.0,0.23076923076923078,0.015384615384615385
12,0.47191011235955055,0.9924242424242424,0.0,0.0,0.65625,0.21739130434782608,0.49,0.2857142857142857,0.07692307692307693,0.0
13,0.6966292134831461,0.9696969696969697,0.0,0.057692307692307696,0.34375,0.927536231884058,0.92,0.09523809523809523,0.3076923076923077,0.0
14,0.6404494382022472,0.9583333333333334,0.1506849315068493,0.019230769230769232,0.59375,0.2898550724637681,0.53,0.2857142857142857,0.38461538461538464,0.49230769230769234
15,0.8539325842696629,0.9772727272727273,0.0684931506849315,0.0,0.46875,0.43478260869565216,0.42,0.19047619047619047,0.6153846153846154,0.26153846153846155
16,0.6067415730337079,0.9962121212121212,0.0,0.0,0.0,0.9565217391304348,0.93,0.47619047619047616,0.0,0.015384615384615385
17,0.8202247191011236,0.9393939393939394,0.1506849315068493,0.057692307692307696,0.15625,0.927536231884058,0.75,0.42857142857142855,0.11538461538461539,0.12307692307692308
18,0.42696629213483145,0.6401515151515151,0.0410958904109589,0.17307692307692307,0.90625,0.057971014492753624,0.21,0.09523809523809523,0.2692307692307692,0.015384615384615385
19,0.7415730337078652,0.8712121212121212,0.136986301369863,0.11538461538461539,0.78125,0.2608695652173913,0.42,0.38095238095238093,0.5,0.18461538461538463
20,0.8314606741573034,0.9090909090909091,0.1917808219178082,0.15384615384615385,0.34375,0.37681159420289856,0.56,0.6190476190476191,0.23076923076923078,0.26153846153846155
21,0.8202247191011236,0.8901515151515151,0.1643835616438356,0.25,0.71875,0.21739130434782608,0.28,0.42857142857142855,0.6538461538461539,0.1076923076923077
22,0.8426966292134831,0.9204545454545454,0.1506849315068493,0.28846153846153844,0.1875,0.043478260869565216,0.2,0.5714285714285714,0.23076923076923078,0.4153846153846154
23,0.7640449438202247,0.9431818181818182,0.0958904109589041,0.23076923076923078,0.53125,0.5797101449275363,0.68,0.42857142857142855,0.46153846153846156,0.24615384615384617
24,0.6741573033707865,0.8181818181818182,0.1232876712328767,0.46153846153846156,0.75,0.0,0.0,0.5238095238095238,0.8461538461538461,0.1076923076923077
25,0.7752808988764045,0.9848484848484849,0.1506849315068493,0.21153846153846154,0.84375,0.463768115942029,0.55,0.23809523809523808,0.6153846153846154,0.12307692307692308
26,0.7752808988764045,0.9204545454545454,0.2465753424657534,0.5576923076923077,0.78125,0.42028985507246375,0.39,0.3333333333333333,0.6923076923076923,0.18461538461538463
27,0.8202247191011236,0.8181818181818182,0.5205479452054794,0.4807692307692308,0.46875,0.6231884057971014,0.5,0.42857142857142855,0.5384615384615384,0.6923076923076923
28,0.8426966292134831,0.7878787878787878,0.3561643835616438,0.4423076923076923,0.5625,0.5072463768115942,0.67,0.47619047619047616,0.5769230769230769,0.5230769230769231
29,0.5056179775280899,0.9772727272727273,0.2328767123287671,0.4230769230769231,0.46875,0.30434782608695654,0.69,0.6666666666666666,0.6538461538461539,0.7384615384615385
30,0.7640449438202247,0.7083333333333334,0.7123287671232876,0.5769230769230769,0.75,0.14492753623188406,0.12,0.3333333333333333,0.6153846153846154,0.5692307692307692
31,0.8314606741573034,0.8825757575757576,0.4383561643835616,0.5576923076923077,0.03125,0.782608695652174,0.73,0.47619047619047616,0.19230769230769232,0.6923076923076923
32,0.5617977528089888,0.8863636363636364,0.273972602739726,0.6923076923076923,0.25,0.9855072463768116,0.87,0.2857142857142857,0.5,0.36923076923076925
33,0.7078651685393258,0.9053030303030303,0.4931506849315068,0.40384615384615385,0.09375,0.34782608695652173,0.41,0.5714285714285714,0.15384615384615385,0.9538461538461539
34,0.8089887640449438,0.9356060606060606,0.3835616438356164,0.5576923076923077,0.53125,0.43478260869565216,0.31,0.19047619047619047,0.7692307692307693,0.49230769230769234
35,0.5842696629213483,0.9659090909090909,0.1506849315068493,0.36538461538461536,0.875,0.3333333333333333,0.55,0.6666666666666666,0.15384615384615385,0.13846153846153847
36,0.7303370786516854,0.8409090909090909,0.4383561643835616,0.6538461538461539,0.75,0.8840579710144928,0.83,0.6190476190476191,0.5384615384615384,0.5384615384615384
37,0.8426966292134831,0.9545454545454546,0.3287671232876712,0.7692307692307693,0.90625,0.8695652173913043,0.78,0.38095238095238093,0.38461538461538464,0.09230769230769231
38,0.7865168539325843,0.9128787878787878,0.4931506849315068,0.8653846153846154,0.53125,0.34782608695652173,0.61,0.6666666666666666,0.6153846153846154,0.8615384615384616
39,0.7865168539325843,0.8106060606060606,0.8493150684931506,0.5769230769230769,0.71875,0.2608695652173913,0.54,0.5238095238095238,0.7692307692307693,0.8461538461538461
40,0.797752808988764,0.8674242424242424,0.5342465753424658,0.7692307692307693,0.75,0.6956521739130435,0.84,0.6666666666666666,0.46153846153846156,0.6615384615384615
41,0.7078651685393258,0.8787878787878788,0.7397260273972602,0.6730769230769231,0.125,0.8840579710144928,0.76,0.5238095238095238,0.6923076923076923,0.8
42,0.7528089887640449,0.9204545454545454,0.5753424657534246,0.7115384615384616,0.34375,0.043478260869565216,0.46,0.38095238095238093,0.6923076923076923,0.9538461538461539
43,0.8426966292134831,0.875,0.684931506849315,0.4807692307692308,0.59375,0.21739130434782608,0.43,0.7619047619047619,0.8076923076923077,0.3230769230769231
44,0.8876404494382022,0.9128787878787878,0.1232876712328767,0.5576923076923077,0.78125,0.7101449275362319,0.62,0.7142857142857143,0.5769230769230769,0.3076923076923077
45,0.8202247191011236,0.9545454545454546,0.6438356164383562,0.8076923076923077,0.78125,0.4492753623188406,0.72,0.7142857142857143,0.6923076923076923,0.8461538461538461
46,0.7415730337078652,0.8371212121212122,0.4931506849315068,0.8269230769230769,0.5625,0.6521739130434783,0.91,0.5238095238095238,0.6538461538461539,0.8
47,0.7640449438202247,0.9053030303030303,0.5753424657534246,0.9230769230769231,0.8125,0.6666666666666666,0.69,0.5714285714285714,0.7692307692307693,0.7384615384615385
48,0.8089887640449438,0.8939393939393939,0.4657534246575342,0.75,0.40625,0.927536231884058,0.78,0.8571428571428571,0.5769230769230769,0.6307692307692307
49,0.8089887640449438,0.9090909090909091,0.5616438356164384,0.8269230769230769,0.3125,0.2753623188405797,0.32,0.7619047619047619,0.7692307692307693,0.8461538461538461
50,0.7752808988764045,0.8712121212121212,0.6575342465753424,0.8846153846153846,0.78125,0.8840579710144928,0.81,0.7142857142857143,0.7307692307692307,0.46153846153846156
51,0.7865168539325843,0.7234848484848485,0.6986301369863014,0.8269230769230769,0.78125,0.6086956521739131,0.8,0.6190476190476191,0.6153846153846154,0.7384615384615385
52,0.7415730337078652,0.9242424242424242,0.7671232876712328,0.8269230769230769,0.71875,0.8695652173913043,0.78,0.5714285714285714,0.8076923076923077,0.676923076923077
53,0.8202247191011236,0.9583333333333334,0.4931506849315068,0.8269230769230769,0.65625,0.4492753623188406,0.66,0.7142857142857143,0.7692307692307693,0.8307692307692308
54,0.797752808988764,0.7462121212121212,0.863013698630137,0.6538461538461539,0.90625,0.6956521739130435,0.49,0.38095238095238093,0.5,0.23076923076923078
55,0.7865168539325843,0.946969696969697,0.7123287671232876,0.7307692307692307,0.46875,0.8695652173913043,0.45,0.6190476190476191,0.6153846153846154,0.9230769230769231
56,0.8426966292134831,0.928030303030303,0.5342465753424658,0.5576923076923077,0.78125,0.6666666666666666,0.79,0.8095238095238095,0.6153846153846154,0.5384615384615384
57,0.8314606741573034,0.9318181818181818,0.7397260273972602,0.7884615384615384,0.78125,0.5652173913043478,0.75,0.6666666666666666,0.7692307692307693,0.8
58,0.7752808988764045,0.8598484848484849,0.7945205479452054,0.8653846153846154,0.6875,0.8840579710144928,0.84,0.8571428571428571,0.6923076923076923,0.49230769230769234
59,0.8314606741573034,0.928030303030303,0.8082191780821918,0.8269230769230769,0.71875,0.8840579710144928,0.74,0.7619047619047619,0.8846153846153846,0.7538461538461538
60,0.9775280898876404,0.9128787878787878,0.6986301369863014,0.46153846153846156,0.90625,0.5217391304347826,0.61,0.5238095238095238,0.6153846153846154,0.8923076923076924
61,0.6853932584269663,0.8825757575757576,0.9178082191780822,0.7884615384615384,0.84375,0.7536231884057971,0.79,0.7142857142857143,0.7692307692307693,0.9076923076923077
62,0.7191011235955056,0.928030303030303,0.6164383561643836,0.7884615384615384,0.78125,0.42028985507246375,0.68,0.47619047619047616,0.7307692307692307,0.38461538461538464
63,0.8651685393258427,0.9583333333333334,0.2191780821917808,0.7307692307692307,0.5625,0.7391304347826086,0.77,0.7619047619047619,0.4230769230769231,0.8153846153846154
64,0.8202247191011236,0.9204545454545454,0.7123287671232876,0.7115384615384616,0.59375,0.7681159420289855,0.62,0.7619047619047619,0.6923076923076923,0.9384615384615385
65,0.7640449438202247,0.9356060606060606,0.7397260273972602,0.6923076923076923,0.875,0.8260869565217391,0.7,0.6666666666666666,0.7307692307692307,0.9076923076923077
66,0.6966292134831461,0.8787878787878788,0.8356164383561644,0.75,0.625,0.7101449275362319,0.65,0.7619047619047619,0.7692307692307693,0.9538461538461539
67,0.8202247191011236,0.8825757575757576,0.863013698630137,0.6730769230769231,0.875,0.7536231884057971,0.85,0.6190476190476191,0.7692307692307693,0.676923076923077
68,0.797752808988764,0.8787878787878788,0.821917808219178,0.8076923076923077,0.875,0.7246376811594203,0.82,0.7142857142857143,0.6923076923076923,0.8153846153846154
69,0.8314606741573034,0.9204545454545454,0.726027397260274,0.8269230769230769,0.96875,0.5507246376811594,0.67,0.7142857142857143,0.6153846153846154,0.5230769230769231
70,0.797752808988764,0.821969696969697,0.7534246575342466,0.6923076923076923,0.71875,0.9130434782608695,0.8,0.8095238095238095,0.7692307692307693,0.8769230769230769
71,0.8202247191011236,0.8863636363636364,0.7808219178082192,0.8076923076923077,0.6875,0.6231884057971014,0.88,0.42857142857142855,0.6538461538461539,0.8769230769230769
72,0.7752808988764045,0.9431818181818182,0.8356164383561644,0.8653846153846154,0.71875,0.6666666666666666,0.46,0.6666666666666666,0.8076923076923077,0.8769230769230769
73,0.7865168539325843,0.9166666666666666,0.7945205479452054,0.8846153846153846,0.71875,0.6811594202898551,0.83,0.9047619047619048,0.7307692307692307,0.8461538461538461
74,0.9213483146067416,0.9393939393939394,0.7671232876712328,0.4230769230769231,0.28125,0.42028985507246375,0.45,0.3333333333333333,0.7307692307692307,0.8615384615384616
75,0.797752808988764,0.9431818181818182,0.6438356164383562,0.6923076923076923,0.96875,0.18840579710144928,0.47,0.47619047619047616,0.5769230769230769,0.7692307692307693
76,0.8764044943820225,0.9356060606060606,0.684931506849315,0.7307692307692307,0.625,0.782608695652174,0.6,0.7619047619047619,0.8461538461538461,0.7384615384615385
77,0.8202247191011236,0.8825757575757576,0.7808219178082192,0.7692307692307693,0.6875,0.9130434782608695,0.89,0.5238095238095238,0.8076923076923077,0.8769230769230769
78,0.8202247191011236,0.9431818181818182,0.7534246575342466,0.6346153846153846,0.90625,0.9565217391304348,0.87,0.47619047619047616,0.7307692307692307,0.7076923076923077
79,0.7528089887640449,0.8106060606060606,0.7534246575342466,0.7115384615384616,0.71875,0.9130434782608695,0.9,0.6666666666666666,0.8076923076923077,0.5230769230769231
80,0.7865168539325843,0.8901515151515151,0.8082191780821918,0.75,0.65625,0.8840579710144928,0.84,0.7619047619047619,0.8461538461538461,0.8769230769230769
81,0.7752808988764045,0.9166666666666666,0.8356164383561644,0.8076923076923077,0.6875,0.9130434782608695,0.82,0.7142857142857143,0.6923076923076923,0.9230769230769231
