epoch,Alarm_bell_ringing,Speech,Dog,Cat,Vacuum_cleaner,Dishes,Frying,Electric_shaver_toothbrush,Blender,Running_water
1,0.02247191011235955,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.02247191011235955,0.6628787878787878,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.015384615384615385
3,0.0,0.4128787878787879,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0
4,0.07865168539325842,0.9166666666666666,0.0,0.0,0.0625,0.4927536231884058,0.54,0.047619047619047616,0.0,0.5846153846153846
5,0.02247191011235955,0.9356060606060606,0.0,0.0,0.125,0.8405797101449275,0.91,0.047619047619047616,0.0,0.7230769230769231
6,0.07865168539325842,0.8977272727272727,0.0136986301369863,0.0,0.125,0.6666666666666666,0.76,0.14285714285714285,0.07692307692307693,0.6153846153846154
7,0.11235955056179775,0.875,0.0,0.0,0.0625,0.5217391304347826,0.51,0.19047619047619047,0.0,0.5230769230769231
8,0.2696629213483146,0.7575757575757576,0.0,0.0,0.25,0.5362318840579711,0.29,0.09523809523809523,0.07692307692307693,0.4461538461538462
9,0.0898876404494382,0.8257575757575758,0.0136986301369863,0.019230769230769232,0.0625,0.8840579710144928,0.9,0.047619047619047616,0.0,0.4461538461538462
10,0.2247191011235955,0.8484848484848485,0.2328767123287671,0.038461538461538464,0.34375,0.855072463768116,0.75,0.047619047619047616,0.07692307692307693,0.38461538461538464
11,0.2247191011235955,0.7537878787878788,0.273972602739726,0.17307692307692307,0.46875,0.6956521739130435,0.58,0.14285714285714285,0.11538461538461539,0.3384615384615385
12,0.21348314606741572,0.9393939393939394,0.136986301369863,0.038461538461538464,0.125,0.855072463768116,0.78,0.3333333333333333,0.07692307692307693,0.4
13,0.21348314606741572,0.7954545454545454,0.2054794520547945,0.21153846153846154,0.1875,0.8405797101449275,0.89,0.14285714285714285,0.11538461538461539,0.38461538461538464
14,0.2247191011235955,0.7878787878787878,0.1643835616438356,0.1346153846153846,0.125,0.8115942028985508,0.74,0.19047619047619047,0.07692307692307693,0.2
15,0.21348314606741572,0.9128787878787878,0.3287671232876712,0.1346153846153846,0.25,0.7971014492753623,0.7,0.23809523809523808,0.3076923076923077,0.4307692307692308
16,0.2247191011235955,0.8295454545454546,0.3424657534246575,0.09615384615384616,0.1875,0.6231884057971014,0.44,0.047619047619047616,0.2692307692307692,0.5076923076923077
17,0.3146067415730337,0.9318181818181818,0.4931506849315068,0.09615384615384616,0.125,0.7391304347826086,0.52,0.14285714285714285,0.038461538461538464,0.5384615384615384
18,0.25842696629213485,0.7310606060606061,0.6438356164383562,0.17307692307692307,0.1875,0.043478260869565216,0.27,0.47619047619047616,0.2692307692307692,0.5538461538461539
19,0.24719101123595505,0.7575757575757576,0.3835616438356164,0.19230769230769232,0.34375,0.043478260869565216,0.3,0.38095238095238093,0.3076923076923077,0.7076923076923077
20,0.34831460674157305,0.7727272727272727,0.4383561643835616,0.23076923076923078,0.59375,0.5072463768115942,0.5,0.3333333333333333,0.5769230769230769,0.5846153846153846
21,0.38202247191011235,0.8446969696969697,0.7123287671232876,0.09615384615384616,0.03125,0.7971014492753623,0.26,0.047619047619047616,0.038461538461538464,0.6923076923076923
22,0.39325842696629215,0.7916666666666666,0.4383561643835616,0.3269230769230769,0.5625,0.855072463768116,0.87,0.23809523809523808,0.2692307692307692,0.4153846153846154
23,0.2696629213483146,0.8333333333333334,0.6027397260273972,0.21153846153846154,0.6875,0.028985507246376812,0.25,0.47619047619047616,0.5,0.35384615384615387
24,0.43820224719101125,0.8863636363636364,0.4657534246575342,0.15384615384615385,0.28125,0.37681159420289856,0.42,0.3333333333333333,0.23076923076923078,0.7384615384615385
25,0.449438202247191,0.8143939393939394,0.589041095890411,0.21153846153846154,0.5,0.463768115942029,0.39,0.3333333333333333,0.5769230769230769,0.8
26,0.5842696629213483,0.7386363636363636,0.5068493150684932,0.3076923076923077,0.40625,0.043478260869565216,0.18,0.47619047619047616,0.34615384615384615,0.5692307692307692
27,0.48314606741573035,0.7803030303030303,0.4246575342465753,0.21153846153846154,0.34375,0.6666666666666666,0.58,0.19047619047619047,0.15384615384615385,0.8153846153846154
28,0.4943820224719101,0.8371212121212122,0.4794520547945205,0.3269230769230769,0.5,0.5797101449275363,0.45,0.19047619047619047,0.6153846153846154,0.7230769230769231
29,0.449438202247191,0.7575757575757576,0.5616438356164384,0.4230769230769231,0.34375,0.6086956521739131,0.44,0.19047619047619047,0.3076923076923077,0.6615384615384615
30,0.5393258426966292,0.7348484848484849,0.136986301369863,0.38461538461538464,0.59375,0.21739130434782608,0.55,0.42857142857142855,0.46153846153846156,0.8615384615384616
31,0.5617977528089888,0.7651515151515151,0.2876712328767123,0.36538461538461536,0.65625,0.391304347826087,0.64,0.5238095238095238,0.5384615384615384,0.7846153846153846
32,0.2808988764044944,0.8674242424242424,0.5753424657534246,0.4423076923076923,0.15625,0.37681159420289856,0.64,0.2857142857142857,0.0,0.8
33,0.29213483146067415,0.8446969696969697,0.6712328767123288,0.4230769230769231,0.375,0.7101449275362319,0.63,0.3333333333333333,0.3076923076923077,0.6153846153846154
34,0.5842696629213483,0.8068181818181818,0.6575342465753424,0.3076923076923077,0.4375,0.6666666666666666,0.54,0.3333333333333333,0.4230769230769231,0.5538461538461539
35,0.7078651685393258,0.8143939393939394,0.5205479452054794,0.4423076923076923,0.625,0.6666666666666666,0.71,0.47619047619047616,0.6153846153846154,0.5846153846153846
