epoch,progress,duration
epoch,progress,loss,acc,f1,val_loss,val_acc,val_f1,duration
69,100,0.1316,0.9481,0.8299,0.1899,0.9250,0.776122.076891660690308
70,100,0.1290,0.9501,0.8341,0.1929,0.9255,0.783022.162875652313232
71,100,0.1326,0.9498,0.8338,0.2226,0.9108,0.731321.71806573867798
72,100,0.1325,0.9495,0.8339,0.2064,0.9211,0.771621.781675338745117
73,100,0.1299,0.9494,0.8329,0.1881,0.9248,0.784822.09512948989868
74,100,0.1288,0.9494,0.8339,0.1966,0.9218,0.767722.197110414505005
75,100,0.1262,0.9519,0.8415,0.1855,0.9273,0.787022.010621786117554
76,100,0.1278,0.9512,0.8398,0.1883,0.9248,0.782522.19478464126587
77,100,0.1249,0.9523,0.8427,0.1902,0.9275,0.790322.188800573349
78,100,0.1245,0.9520,0.8434,0.1867,0.9280,0.787722.396809577941895
79,100,0.1237,0.9517,0.8413,0.2011,0.9229,0.776322.353627681732178
80,100,0.1233,0.9527,0.8441,0.1830,0.9308,0.798622.28808093070984
81,100,0.1218,0.9528,0.8463,0.1893,0.9301,0.795421.89032769203186
82,100,0.1205,0.9542,0.8501,0.2028,0.9183,0.758422.388471841812134
83,100,0.1219,0.9531,0.8467,0.1820,0.9308,0.797622.355356693267822
84,100,0.1205,0.9541,0.8496,0.1798,0.9312,0.801622.190566301345825
85,100,0.1170,0.9544,0.8513,0.1934,0.9252,0.780422.286907196044922
86,100,0.1129,0.9575,0.8610,0.2042,0.9216,0.770022.26335906982422
87,100,0.1147,0.9559,0.8561,0.1900,0.9266,0.789521.92136812210083
88,100,0.1176,0.9565,0.8577,0.1845,0.9303,0.796122.01087236404419
89,100,0.1189,0.9537,0.8489,0.1752,0.9358,0.814322.28822374343872
90,100,0.1157,0.9558,0.8565,0.1874,0.9252,0.784122.0127956867218
91,100,0.1140,0.9575,0.8617,0.2071,0.9183,0.764122.49563765525818
92,100,0.1183,0.9558,0.8565,0.1885,0.9262,0.787122.15653085708618
93,100,0.1152,0.9564,0.8577,0.2065,0.9213,0.773121.96641206741333
94,100,0.1154,0.9549,0.8545,0.2083,0.9188,0.768222.11640691757202
95,100,0.1127,0.9579,0.8630,0.1886,0.9289,0.791321.955493450164795
96,100,0.1093,0.9583,0.8649,0.1797,0.9314,0.799622.078176021575928
97,100,0.1115,0.9565,0.8579,0.1881,0.9245,0.782322.274150133132935
98,100,0.1105,0.9576,0.8631,0.1776,0.9280,0.793022.156850814819336
99,100,0.1100,0.9578,0.8633,0.1705,0.9358,0.814122.16338276863098
100,100,0.1069,0.9608,0.8737,0.1812,0.9337,0.811122.3519287109375
